phase,msb,lsb,ibias_uA,f_est_ghz,f_fft_ghz,v_swing_V,dc_V
A,0,0,96,2.5323,2.4029,0.8370,0.8999
A,1,0,106,2.4935,2.3690,0.8504,0.9002
A,2,0,115,2.4564,2.3366,0.8633,0.8987
A,3,0,125,2.4209,2.3054,0.8766,0.8984
A,4,0,134,2.3869,2.2754,0.8890,0.8991
A,5,0,144,2.3543,2.2466,0.9021,0.8991
A,6,0,154,2.3230,2.2188,0.9148,0.8994
A,7,0,163,2.2929,2.1920,0.9278,0.8987
A,8,0,173,2.2640,2.1663,0.9392,0.8987
A,9,0,182,2.2361,2.1413,0.9521,0.8992
A,10,0,192,2.2092,2.1172,0.9647,0.8986
A,11,0,202,2.1833,2.0939,0.9775,0.9003
A,12,0,211,2.1582,2.0713,0.9897,0.8977
A,13,0,221,2.1341,2.0495,1.0025,0.8990
A,14,0,230,2.1107,2.0283,1.0150,0.9004
A,15,0,240,2.0880,2.0078,1.0278,0.9004
A,16,0,250,2.0661,1.9879,1.0381,0.9004
A,17,0,259,2.0448,1.9686,1.0510,0.9003
A,18,0,269,2.0242,1.9498,1.0637,0.8984
A,19,0,278,2.0042,1.9315,1.0767,0.8973
A,20,0,288,1.9848,1.9137,1.0892,0.9002
A,21,0,298,1.9659,1.8964,1.1025,0.8978
A,22,0,307,1.9476,1.8796,1.1156,0.8988
A,23,0,317,1.9298,1.8632,1.1291,0.8994
A,24,0,326,1.9124,1.8472,1.1420,0.8993
A,25,0,336,1.8955,1.8316,1.1561,0.8968
A,26,0,346,1.8791,1.8164,1.1706,0.8976
A,27,0,355,1.8630,1.8016,1.1859,0.8987
A,28,0,365,1.8474,1.7870,1.2016,0.8987
A,29,0,374,1.8322,1.7729,1.2191,0.8989
A,30,0,384,1.8173,1.7590,1.2385,0.8986
A,31,0,394,1.8028,1.7453,1.2620,0.8965
B,31,0,394,1.8028,1.7453,1.2620,0.8965
B,31,1,398,1.7927,1.7358,1.2805,0.8974
B,31,2,403,1.7828,1.7262,1.3048,0.8978
B,31,3,407,1.7730,1.7161,1.3472,0.8973
B,31,4,412,1.7634,1.6982,1.4715,0.9004
B,31,5,416,1.7539,1.6854,1.7590,0.8992
B,31,6,421,1.7446,1.6764,1.8147,0.8969
B,31,7,425,1.7355,1.6680,1.8252,0.8974
B,31,8,430,1.7265,1.6599,1.8262,0.8957
B,31,9,434,1.7176,1.6520,1.8260,0.8947
B,31,10,439,1.7089,1.6442,1.8245,0.8980
B,31,11,443,1.7003,1.6364,1.8227,0.8969
B,31,12,448,1.6918,1.6289,1.8201,0.8967
B,31,13,452,1.6834,1.6214,1.8178,0.8956
B,31,14,457,1.6752,1.6140,1.8153,0.8936
B,31,15,461,1.6671,1.6067,1.8130,0.8985
B,31,16,466,1.6591,1.5996,1.8092,0.8963
B,31,17,470,1.6512,1.5925,1.8068,0.8995
B,31,18,475,1.6435,1.5855,1.8042,0.8957
B,31,19,479,1.6358,1.5785,1.8019,0.8969
B,31,20,484,1.6283,1.5717,1.7991,0.8952
B,31,21,488,1.6208,1.5650,1.7967,0.8936
B,31,22,493,1.6135,1.5583,1.7942,0.8963
B,31,23,497,1.6062,1.5518,1.7919,0.8930
B,31,24,502,1.5991,1.5453,1.7888,0.8939
B,31,25,506,1.5920,1.5389,1.7866,0.8961
B,31,26,511,1.5851,1.5326,1.7841,0.8932
B,31,27,515,1.5782,1.5263,1.7819,0.8931
B,31,28,520,1.5714,1.5201,1.7793,0.8960
B,31,29,524,1.5647,1.5140,1.7772,0.8959
B,31,30,529,1.5581,1.5080,1.7748,0.8940
B,31,31,533,1.5516,1.5020,1.7727,0.8950
